trialIndex,blockId,trialType,fixPosition,targetPosition,displacement,shapeInit,contrastInit,fixationDurationInSec,response,result
0,0,Step,-0.0,6.0,-1.5,0,0,1.076,RightResponse,incorrect
1,0,Change,0.0,-8.0,-0.5999999999999999,1,0,1.33,LeftResponse,correct
2,0,Blank,0.0,-6.0,-0.2999999999999998,0,1,1.12,LeftResponse,correct
3,0,Change,-0.0,8.0,-1.5,0,1,1.444,RightResponse,incorrect
4,0,Step,-0.0,6.0,-1.5,1,1,0.824,LeftResponse,correct
5,0,Change,0.0,-8.0,1.5000000000000004,1,0,1.054,LeftResponse,incorrect
6,0,Change,0.0,-6.0,2.220446049250313e-16,1,1,1.237,LeftResponse,incorrect
7,0,Change,-0.0,8.0,0.30000000000000027,0,1,1.102,RightResponse,correct
8,0,Step,-0.0,6.0,-0.8999999999999999,1,1,1.255,RightResponse,incorrect
9,0,Blank,-0.0,6.0,2.220446049250313e-16,1,1,1.474,RightResponse,correct
10,0,Change,-0.0,6.0,-1.2,1,0,1.303,RightResponse,incorrect
11,0,Blank,-0.0,6.0,-0.5999999999999999,1,1,0.691,LeftResponse,correct
12,0,Change,0.0,-6.0,-1.2,0,1,1.058,LeftResponse,correct
13,0,Step,0.0,-8.0,-1.5,0,0,1.246,LeftResponse,correct
14,0,Blank,0.0,-8.0,1.5000000000000004,0,1,0.853,RightResponse,correct
15,0,Change,-0.0,8.0,-0.8999999999999999,1,1,1.093,RightResponse,incorrect
16,0,Change,0.0,-8.0,1.2000000000000002,1,1,1.244,LeftResponse,incorrect
17,0,Blank,-0.0,6.0,1.2000000000000002,1,0,0.725,RightResponse,correct
18,0,Step,0.0,-8.0,-1.5,1,0,1.047,LeftResponse,correct
19,0,Blank,-0.0,6.0,-1.2,0,0,0.677,LeftResponse,correct
20,0,Blank,0.0,-6.0,1.5000000000000004,0,0,0.894,RightResponse,correct
21,0,Change,-0.0,8.0,0.9000000000000004,1,1,1.306,RightResponse,correct
22,0,Change,-0.0,8.0,0.6000000000000005,1,1,1.185,RightResponse,correct
23,0,Step,-0.0,8.0,0.6000000000000005,0,0,0.738,RightResponse,correct
24,0,Step,0.0,-6.0,2.220446049250313e-16,0,0,0.837,LeftResponse,incorrect
25,0,Blank,-0.0,6.0,0.30000000000000027,0,1,1.058,RightResponse,correct
26,0,Change,-0.0,6.0,1.5000000000000004,1,0,0.861,RightResponse,correct
27,0,Step,0.0,-8.0,0.30000000000000027,0,0,1.027,RightResponse,correct
28,0,Change,0.0,-8.0,0.6000000000000005,0,0,1.492,LeftResponse,incorrect
29,0,Blank,0.0,-8.0,-1.2,0,0,1.136,LeftResponse,correct
30,0,Step,0.0,-8.0,-0.2999999999999998,1,0,1.3,RightResponse,incorrect
31,0,Step,-0.0,8.0,0.9000000000000004,1,1,0.83,RightResponse,correct
