trialIndex,blockId,trialType,fixationDurationInSec,fixPosition,shapeInit,contrastInit,targetPosition,displacement,response,result
0,pract,Step,1.433,0,1,1,8,-1.5,NoResponse,invalid
1,pract,Blank,1.222,0,0,1,-8,0.0,LeftResponse,correct
2,pract,Step,0.666,0,1,0,6,1.5000000000000004,RightResponse,correct
3,pract,Blank,1.061,0,1,0,-6,-1.5,LeftResponse,correct
4,pract,Blank,0.774,0,1,0,6,0.0,RightResponse,correct
5,pract,Step,0.545,0,1,1,-6,1.5000000000000004,NoResponse,invalid
6,pract,Step,1.262,0,0,1,6,-1.5,RightResponse,incorrect
7,pract,Change,0.871,0,0,1,-8,0.0,LeftResponse,correct
8,pract,Step,1.424,0,0,0,6,1.5000000000000004,NoResponse,invalid
9,pract,Change,1.351,0,1,0,-8,-1.5,NoResponse,invalid
10,pract,Step,1.307,0,1,0,8,0.0,RightResponse,correct
11,pract,Step,1.025,0,0,1,-6,1.5000000000000004,NoResponse,invalid
12,pract,Step,1.297,0,1,1,6,-1.5,NoResponse,invalid
13,pract,Blank,0.756,0,0,1,-6,0.0,LeftResponse,correct
14,pract,Blank,1.476,0,0,1,6,1.5000000000000004,RightResponse,correct
15,pract,Step,1.342,0,0,0,-8,-1.5,LeftResponse,correct
16,pract,Change,0.815,0,0,0,8,0.0,RightResponse,correct
17,pract,Change,0.816,0,0,0,-8,1.5000000000000004,LeftResponse,incorrect
18,pract,Change,0.964,0,0,0,8,-1.5,RightResponse,incorrect
19,pract,Change,1.248,0,0,0,-6,0.0,LeftResponse,correct
20,pract,Blank,1.03,0,0,1,8,1.5000000000000004,RightResponse,correct
21,pract,Blank,1.262,0,1,0,-8,-1.5,LeftResponse,correct
22,pract,Change,0.735,0,0,1,6,0.0,RightResponse,correct
23,pract,Blank,0.812,0,0,1,-8,1.5000000000000004,RightResponse,correct
24,pract,Blank,0.975,0,1,0,8,-1.5,LeftResponse,correct
