# subID,loc,scale,loc_er,scale_er
02,1.00539e+00,1.48719e+00,1.75160e-01,3.04603e-01
03,1.98111e-01,4.62511e-01,5.37177e-02,7.59702e-02
04,2.50466e-01,4.58718e-01,5.40824e-02,7.64876e-02
08,2.60679e-01,8.39582e-01,6.61859e-02,9.68542e-02
09,-4.12625e-01,8.31259e-01,7.71577e-02,1.14662e-01
14,1.48613e-01,4.62113e-01,3.80597e-02,5.38253e-02
15,5.34637e-01,7.91436e-01,8.02664e-02,1.20380e-01
16,-1.57056e-01,1.75819e-01,2.91701e-02,3.38599e-02
18,5.07137e-01,5.85889e-01,5.38187e-02,7.69650e-02
20,-2.89696e-02,3.40463e-01,1.78386e-02,2.52292e-02
21,3.07833e-02,2.94468e-01,3.79622e-02,5.37473e-02
