# subID,loc,scale,loc_er,scale_er
02,2.20790e-01,1.53552e+00,1.23058e-01,2.31847e-01
03,1.48801e-01,1.40268e+00,1.40399e-01,2.49857e-01
04,1.07661e-01,7.09234e-01,1.15040e-01,1.63713e-01
08,-7.86244e-01,2.20225e+00,3.21070e-01,6.95567e-01
09,-7.54844e-01,1.54326e+00,1.37874e-01,2.51746e-01
14,6.44921e-01,1.43733e+00,2.28240e-01,4.09538e-01
15,1.80591e-01,1.98532e+00,1.37484e-01,3.13103e-01
16,-4.40144e-01,1.27417e+00,1.84601e-01,3.14599e-01
18,-3.00708e-02,8.85915e-01,9.61717e-02,1.40564e-01
20,-3.38413e-01,2.38083e+00,1.77496e-01,4.58916e-01
21,-1.44669e-01,6.15841e-01,8.21354e-02,1.16342e-01
