# subID,loc,scale,loc_er,scale_er
02,6.02938e-01,4.55591e+00,4.86076e-01,2.04424e+00
03,-2.16108e-01,2.71404e+00,3.06038e-01,9.04079e-01
04,-5.34517e-02,1.26899e+00,1.83419e-01,3.07637e-01
08,-1.34464e+00,1.14589e+00,1.64994e-01,2.64569e-01
09,-6.77894e+00,7.41220e+00,5.16879e+00,5.78100e+00
14,2.05437e-01,1.59327e+00,1.53486e-01,2.96506e-01
15,-4.58002e-03,1.53174e+00,1.64053e-01,3.09196e-01
16,-3.07922e+00,4.49771e+00,2.08256e+00,3.16211e+00
18,-2.24786e+00,5.29562e+00,1.26866e+00,2.91585e+00
20,1.09984e+00,5.22507e+00,9.99384e-01,3.75538e+00
21,-6.24182e-01,5.93505e-01,9.60286e-02,1.39056e-01
