,subID,expType,nTrials_Blank,nTrials_Step,nTrials_Change
0,01,S,29.0,39.0,32.0
1,02,C,159.0,166.0,163.0
2,03,C,160.0,156.0,162.0
3,04,C,158.0,160.0,158.0
4,05,S,171.0,162.0,163.0
5,06,S,128.0,143.0,140.0
6,07,S,155.0,162.0,161.0
7,08,C,156.0,155.0,157.0
8,09,C,166.0,163.0,161.0
9,11,S,146.0,153.0,141.0
10,12,S,133.0,134.0,117.0
11,13,S,101.0,106.0,102.0
12,14,C,135.0,131.0,128.0
13,15,C,150.0,138.0,141.0
14,16,C,121.0,120.0,120.0
15,18,C,153.0,139.0,149.0
16,19,S,15.0,16.0,22.0
17,20,C,168.0,161.0,166.0
18,21,C,158.0,166.0,163.0
19,22,S,149.0,147.0,150.0
20,23,S,44.0,43.0,36.0
21,24,S,117.0,125.0,114.0
22,25,S,127.0,127.0,111.0
