# times,xpos_left,ypos_left,pupil_left,xpos_right,ypos_right,pupil_right
1600.8660,1008.300,417.100,989.000,966.200,520.000,977.000
1600.8670,1008.300,415.700,989.000,965.900,522.300,979.000
1600.8680,1008.800,414.700,989.000,965.500,524.600,982.000
1600.8690,1009.000,417.300,990.000,965.900,525.800,983.000
1600.8700,1009.100,418.800,990.000,966.800,525.700,982.000
1600.8710,1009.200,419.200,989.000,967.700,525.600,981.000
1600.8720,1009.200,416.400,989.000,967.900,526.500,980.000
1600.8730,1009.100,414.500,990.000,968.000,527.500,981.000
1600.8740,1009.700,415.300,990.000,968.300,528.600,982.000
1600.8750,1010.400,417.400,989.000,968.600,528.700,983.000
1600.8760,1010.800,422.000,989.000,968.900,528.700,983.000
1600.8770,1010.500,424.700,989.000,969.000,528.500,983.000
1600.8780,1010.400,426.800,990.000,968.900,528.400,983.000
1600.8790,1010.500,426.200,990.000,968.800,529.300,983.000
1600.8800,1010.300,425.500,991.000,968.700,530.600,983.000
1600.8810,1009.700,425.200,992.000,968.700,531.900,986.000
1600.8820,1009.100,425.000,994.000,968.500,532.200,988.000
1600.8830,1008.900,424.900,994.000,968.300,531.600,989.000
1600.8840,1009.100,425.000,993.000,968.700,531.000,987.000
1600.8850,1009.200,425.200,991.000,969.200,530.500,987.000
1600.8860,1009.400,425.200,991.000,969.600,530.500,988.000
1600.8870,1009.800,423.400,991.000,969.500,531.000,989.000
1600.8880,1010.300,421.500,991.000,970.000,531.400,989.000
1600.8890,1010.200,422.200,989.000,970.600,531.900,989.000
1600.8900,1010.100,424.800,988.000,971.300,531.500,988.000
1600.8910,1009.900,427.400,986.000,971.500,531.100,988.000
1600.8920,1009.900,425.200,986.000,971.600,531.800,987.000
1600.8930,1009.600,423.000,988.000,971.500,533.000,987.000
1600.8940,1009.800,423.300,990.000,971.100,534.600,986.000
1600.8950,1010.200,425.800,994.000,969.600,534.900,986.000
1600.8960,1009.700,428.400,995.000,968.400,535.100,987.000
1600.8970,1008.800,428.500,996.000,967.300,533.900,988.000
1600.8980,1008.700,428.400,995.000,967.200,532.800,989.000
1600.8990,1009.500,428.000,995.000,968.300,532.900,990.000
1600.9000,1010.200,427.500,996.000,969.500,533.800,991.000
1600.9010,1009.200,427.300,998.000,971.300,534.700,993.000
